"Buyer                  ","Proj. ","SWBS","Item            ","Description         ","Linked STD Item ","EBOM Qty","Orig.   ","Consum  ","Remain  ","Group ","Supplier","Hold","MRIY Date ","LTime","SHLF LF ","Plan Or.Dt","UOM","On Hand ","On Order","Alloc   ","    EFDB      "," Act. Issue   ","Shortage"
"  8018 SCHELL, KEN     ","475","610","    610-00-00002","SRVC, FIRE EXTINGUIS","SRV525-032200005","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","982","    982-01-00140","CLEANING OF LINENS  ","SRV300-012000005","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","982","    982-01-VS001","VSR, CLEAN & SANITIZ","            -VSR","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","986","    986-01-00077","SERVICE, RENTAL, 28V","SRV300-012400001","1","1","0","1","  SRVC","104783","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","986","    986-01-00562","VENDOR SERVICES, CON","SRV656-011000002","1","1","0","1","  TEST","107725","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","992","    992-01-00341","SRVC, RENTAL, FRACK ","SRV650-012400002","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","993","    993-01-90005","16"" CIRCULAR SAW    ","SRV744-012400002","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","993","    993-01-90007","VACUUM PUMP         ","SRV744-012400003","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","996","    996-99-FLAGS","CLEANING, LAUNCH FLA","SRV533-012000001","1","1","0","1","  SRVC","107592","No  ","10/26/2015","123","0","06/25/2015","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","475","551","551-01-VPR09-L31","CERTIFICATE, CALIBRA","            -L31","1","1","0","1","53","        ","No  ","05/20/2015","60","0","03/21/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","167","    167-01-00986","FLUSH HATCH/KITS - L","610604-000000003","6","6","5","1","61","6908","No  ","10/15/2014","56","0","08/20/2014","EA ","0","0","0","6","5","1"
"  8019 EBSCH, KRISTI   ","475","180","    180-24-7026B","SRVC, TO PROVIDE BEA","SRV521-030900572","1","1","0","1","  SRVC","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","180","    180-94-00002","SEAL MNT PLATE, BHD ","SRV521-030900782","2","2","0","2","  SRVC","100732","No  ","10/15/2014","14","0","10/01/2014","EA ","0","0","0","2","0","2"
"  8019 EBSCH, KRISTI   ","475","180","    180-96-00003","SEAL MNT PLATE, BHD ","SRV521-030900783","6","6","1","5","  SRVC","100876","No  ","10/15/2014","17","0","09/28/2014","EA ","0","0","0","6","1","5"
"  8019 EBSCH, KRISTI   ","475","201","    201-A1-00001","BASE, MOUNTING GUARD","180433-000000006","16","16","0","16","18","        ","No  ","10/15/2014","42","0","09/03/2014","EA ","0","0","0","16","0","16"
"  8019 EBSCH, KRISTI   ","475","505","    505-03-SP003","SPACER PLATE, FAB, S","54F300-000000004","4","4","3","1","54","105206","No  ","12/22/2014","123","0","08/21/2014","EA ","0","0","0","4","3","1"
"  8019 EBSCH, KRISTI   ","475","512","    512-01-00015","HVAC PENETRATION SLE","SRV527-030500001","1","1","0","1","  SRVC","100788","No  ","05/26/2015","60","0","03/27/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","521","    521-01-S520A","FM HOSE RACK ASSY, 1","763336-000000005","2","2","1","1","76","105206","No  ","10/15/2014","49","0","08/27/2014","EA ","0","0","0","2","1","1"
"  8019 EBSCH, KRISTI   ","475","582","    582-01-00022","PELICAN HOOK, TOWING","702706-000000003","1","1","1","0","70","105859","No  ","06/15/2016","150","0","01/17/2016","EA ","1","0","2","1","1","-1"
"  8019 EBSCH, KRISTI   ","475","582","    582-01-00023","BUOY MOORING SHACKLE","702700-000000003","1","1","1","0","70","105859","No  ","06/15/2016","150","0","01/17/2016","EA ","1","0","2","1","1","-1"
"  8019 EBSCH, KRISTI   ","475","612","    612-02-0S26A","SUB ASSEMBLY S26A FI","110100-000000005","2","2","0","2","9","105661","No  ","10/19/2014","123","0","06/18/2014","EA ","0","0","0","2","0","2"
"  8019 EBSCH, KRISTI   ","475","612","    612-02-0S6BA","SUB ASSEMBLY S6BA HI","180201-000000002","48","48","0","48","18","        ","No  ","05/26/2015","123","0","01/23/2015","EA ","0","0","0","48","0","48"
"  8019 EBSCH, KRISTI   ","475","612","    612-02-0S6FA","SUB ASSEMBLY S6FA HI","180201-000000004","12","12","0","12","18","105661","No  ","05/26/2015","123","0","01/23/2015","EA ","0","0","0","12","0","12"
"  8019 EBSCH, KRISTI   ","475","612","    612-02-0S6HA","SUB ASSEMBLY S6HA WI","180200-000000001","65","65","63","2","18","105661","No  ","10/15/2014","123","0","06/14/2014","EA ","1","0","0","65","63","1"
"  8019 EBSCH, KRISTI   ","475","612","    612-02-0S6KA","SUB ASSY S6KA BRACKE","724315450100-001","4","4","0","4","72","        ","No  ","08/26/2015","14","0","08/12/2015","EA ","0","0","0","4","0","4"
"  8019 EBSCH, KRISTI   ","475","623","    623-05-00S1S","LADDER SHIELD, NO. 1","718007910000-571","1","1","0","1","71","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","623","    623-05-00S4S","LADDER SHIELD, NO. 4","718022910000-572","1","1","0","1","71","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","623","    623-05-00S6S","LADDER SHIELD, NO. 7","718022910000-573","1","1","0","1","71","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","623","    623-05-0S10S","LADDER SHIELD, NO. 1","718022910000-575","1","1","0","1","71","        ","No  ","10/15/2014","123","0","06/14/2014","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","665","    665-01-087AD","VERTICAL RETAINING B","780800-000000020","13","13","0","13","78","        ","No  ","03/16/2016","0","0","03/16/2016","EA ","0","0","0","13","0","13"
"  8019 EBSCH, KRISTI   ","475","995","    995-01-00023","VENDOR SERVICES TO P","SRV521-032200358","4","4","0","4","  SRVC","100774","No  ","10/15/2014","123","0","06/14/2014","LO ","0","0","0","4","0","4"
"  8019 EBSCH, KRISTI   ","475","127","127-01-53301-L11","CERTIFICATES, REGULA","            -L11","1","1","0","1","16","        ","No  ","01/20/2016","60","0","11/21/2015","LO ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","127","127-01-53301-L26","CERTIFICATE, IDENTIC","            -L26","1","1","0","1","16","        ","No  ","01/20/2016","60","0","11/21/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","475","127","127-01-53301-L68","CERTIFICATES, VENDOR","            -L68","1","1","0","1","16","        ","No  ","01/20/2016","123","0","09/19/2015","LO ","0","0","0","1","0","1"
