"Buyer                  ","Proj. ","SWBS","Item            ","Description         ","Linked STD Item ","EBOM Qty","Orig.   ","Consum  ","Remain  ","Group ","Supplier","Hold","MRIY Date ","LTime","SHLF LF ","Plan Or.Dt","UOM","On Hand ","On Order","Alloc   ","    EFDB      "," Act. Issue   ","Shortage"
"  8018 SCHELL, KEN     ","469","300","    300-99-GWTAG","ELECTRICAL TAGS GOOD","SRV526-031400003","10000","10000","327.6","9672.4","  SRVC","101283","No  ","01/04/2013","123","0","09/03/2012","DOL","0","0","0","10000","327.6","9672.4"
"  8018 SCHELL, KEN     ","469","512","    512-01-87658","STRAP, VELCRO, 2"" X ","704121091600-001","3","3","0","3","70","        ","No  ","07/16/2014","30","0","06/16/2014","EA ","0","0","0","3","0","3"
"  8018 SCHELL, KEN     ","469","984","    984-04-00070","KLEMM CLEAN TANKER &","SRV533-011000004","1","1","0","1","  SRVC","105818","No  ","01/04/2013","123","0","09/03/2012","EA ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","469","992","    992-01-VS004","VSR, MISC. SCAFFOLDI","                ","1","1","0","1","  SRVC","        ","No  ","01/04/2013","123","0","09/03/2012","DOL","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","469","996","    996-01-00117","BARGE RENTAL FOR LAU","SRV533-021800003","1","1","0","1","  SRVC","100774","No  ","09/16/2013","123","0","05/16/2013","LO ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","469","150","    150-00-DC012","DETACOUPLE/BIMETALLI","100407-000000001","2100","2100","2046","54","10","101590","No  ","01/04/2013","145","0","08/12/2012","LF ","0","0","0","2100","2046","54"
"  8019 EBSCH, KRISTI   ","469","167","    167-01-00426","RING, MH, RAISED, 15","611102-000000030","27","27","21","6","61","100774","No  ","01/04/2013","21","0","12/14/2012","EA ","0","0","0","27","21","6"
"  8019 EBSCH, KRISTI   ","469","167","    167-01-00427","COVER, MH, RAISED, 1","611208-000000003","46","46","40","6","61","100774","No  ","01/04/2013","21","0","12/14/2012","EA ","0","0","0","46","40","6"
"  8019 EBSCH, KRISTI   ","469","180","    180-24-7026B","SRVC, TO PROVIDE BEA","SRV521-030900572","1","1","0","1","  SRVC","        ","No  ","05/28/2013","123","0","01/25/2013","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","469","180","    180-94-00002","SEAL MNT PLATE, BHD ","SRV521-030900782","2","2","0","2","  SRVC","100732","No  ","01/04/2013","14","0","12/21/2012","EA ","0","0","0","2","0","2"
"  8019 EBSCH, KRISTI   ","469","180","    180-96-00003","SEAL MNT PLATE, BHD ","SRV521-030900783","6","6","0","6","  SRVC","100732","No  ","01/04/2013","17","0","12/18/2012","EA ","0","0","0","6","0","6"
"  8019 EBSCH, KRISTI   ","469","201","    201-A1-00001","BASE, MOUNTING GUARD","180433-000000006","16","16","0","16","18","        ","No  ","01/15/2013","42","0","12/04/2012","EA ","0","0","0","16","0","16"
"  8019 EBSCH, KRISTI   ","469","252","    252-02-00001","BRACKET, FLEX CABLE,","      ARCHIVE-EA","2","2","0","2","  ARCH","100876","No  ","01/04/2013","123","0","09/03/2012","EA ","0","0","0","2","0","2"
"  8019 EBSCH, KRISTI   ","469","252","    252-02-00010","BRACKET, FLEX CABLE,","203600-000000002","4","4","0","4","20","100876","No  ","08/13/2013","123","0","04/12/2013","EA ","0","0","0","4","0","4"
"  8019 EBSCH, KRISTI   ","469","252","    252-02-00013","BRACKET, FLEX CABLE,","203600-000000004","2","2","0","2","20","100876","No  ","08/13/2013","123","0","04/12/2013","EA ","0","0","0","2","0","2"
"  8019 EBSCH, KRISTI   ","469","321","    321-02-00668","SERVICE, VENDOR, TO ","SRV526-030600022","1","1","0","1","  SRVC","        ","No  ","01/04/2013","123","0","09/03/2012","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","469","505","    505-01-CAP03","CAP, 3-1/2"" SQUARE, ","540400-000000002","46","46","38","8","54","103360","No  ","01/04/2013","180","0","07/08/2012","EA ","4","0","0","46","38","4"
"  8019 EBSCH, KRISTI   ","469","512","    512-01-00015","HVAC PENETRATION SLE","SRV527-030500001","1","1","0","1","  SRVC","100788","No  ","10/12/2012","60","0","08/13/2012","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","469","521","    521-01-0903A","FM NOZZLE CLIP      ","762936-000000001","9","9","7","2","76","105206","No  ","01/04/2013","49","0","11/16/2012","EA ","1","0","0","9","7","1"
"  8019 EBSCH, KRISTI   ","469","521","    521-01-0904A","FM HOSE STRAP CLIP  ","763100-000000002","32","32","9","23","76","105206","No  ","01/04/2013","49","0","11/16/2012","EA ","19","0","0","32","9","4"
